Store Name,City,County,State,Latitude,Longitude,Place Classification,Place Population,Place Store Count,"Place Stores per 10,000",Place Poverty Rate %,Place Poverty Count,County Total Population (ACS 2023),County Total Stores in County,"County Stores per 10,000",Adjusted County Density (excl. Place),Place Density > Adjusted County Density,County Poverty Rate %,County Poverty Count (ACS 2023),Place Density > County Density,Is Rural Store,Place Urban Population Share
Dollar General,Cary,Wake,NC,35.791,-78.761,"Urban (5,000+)",176287,2,0.11,0.053,9309.0,1129229,22,0.19,0.21,No,0.079316064323534,89566,No,No,0.999525
Dollar General,Cary,Wake,NC,35.772,-78.783,"Urban (5,000+)",176287,2,0.11,0.053,9309.0,1129229,22,0.19,0.21,No,0.079316064323534,89566,No,No,0.999525
Dollar General,Raleigh,Wake,NC,35.855,-78.702,"Urban (5,000+)",452191,5,0.11,0.114,51737.0,1129229,22,0.19,0.25,No,0.079316064323534,89566,No,No,0.999354
Dollar General,Raleigh,Wake,NC,35.665,-78.697,"Urban (5,000+)",452191,5,0.11,0.114,51737.0,1129229,22,0.19,0.25,No,0.079316064323534,89566,No,No,0.999354
Dollar General,Raleigh,Wake,NC,35.881,-78.647,"Urban (5,000+)",452191,5,0.11,0.114,51737.0,1129229,22,0.19,0.25,No,0.079316064323534,89566,No,No,0.999354
Dollar General,Raleigh,Wake,NC,35.906,-78.589,"Urban (5,000+)",452191,5,0.11,0.114,51737.0,1129229,22,0.19,0.25,No,0.079316064323534,89566,No,No,0.999354
Dollar General,Raleigh,Wake,NC,35.732,-78.56,"Urban (5,000+)",452191,5,0.11,0.114,51737.0,1129229,22,0.19,0.25,No,0.079316064323534,89566,No,No,0.999354
Dollar General,Winston Salem,Forsyth,NC,36.057,-80.239,"Urban (5,000+)",241272,4,0.16,0.179,43179.0,376368,13,0.35,0.67,No,0.146951919398036,55308,No,No,0.999199
Dollar General,Winston Salem,Forsyth,NC,36.078,-80.175,"Urban (5,000+)",241272,4,0.16,0.179,43179.0,376368,13,0.35,0.67,No,0.146951919398036,55308,No,No,0.999199
Dollar General,Winston Salem,Forsyth,NC,36.154,-80.214,"Urban (5,000+)",241272,4,0.16,0.179,43179.0,376368,13,0.35,0.67,No,0.146951919398036,55308,No,No,0.999199
Dollar General,Winston Salem,Forsyth,NC,36.039,-80.272,"Urban (5,000+)",241272,4,0.16,0.179,43179.0,376368,13,0.35,0.67,No,0.146951919398036,55308,No,No,0.999199
Dollar General,Huntersville,Mecklenburg,NC,35.356,-80.87,"Urban (5,000+)",62029,1,0.16,0.034,2137.0,1113265,19,0.17,0.17,No,0.104104593245993,115896,No,No,0.961891
Dollar General,Charlotte,Mecklenburg,NC,35.274,-80.938,"Urban (5,000+)",871398,15,0.17,0.117,101860.0,1113265,19,0.17,0.17,No,0.104104593245993,115896,No,No,0.999934
Dollar General,Charlotte,Mecklenburg,NC,35.162,-80.737,"Urban (5,000+)",871398,15,0.17,0.117,101860.0,1113265,19,0.17,0.17,No,0.104104593245993,115896,No,No,0.999934
Dollar General,Charlotte,Mecklenburg,NC,35.325,-80.868,"Urban (5,000+)",871398,15,0.17,0.117,101860.0,1113265,19,0.17,0.17,No,0.104104593245993,115896,No,No,0.999934
