place_name,urban_share
Star,0.000000
Stanfield,0.000000
Stanley,1.000000
Stantonsburg,0.000000
Statesville,0.994687
Stedman,0.000000
Stem,0.000000
Stokes,0.000000
Stokesdale,0.000000
Stoneville,0.000000
Stonewall,0.000000
Stony Point,0.000000
Stovall,0.000000
Sugar Mountain,0.000000
Summerfield,0.185280
Sunbury,0.000000
Sunset Beach,1.000000
Surf City,0.890871
Swannanoa,0.897232
Swan Quarter,0.000000
Swansboro,1.000000
Swepsonville,1.000000
Sylva,0.980993
Tabor City,0.000000
Tarboro,0.967727
Tar Heel,0.000000
Taylorsville,0.000000
Taylortown,0.927445
Teachey,0.000000
Thomasville,0.996799
Toast,1.000000
Tobaccoville,0.098914
Topsail Beach,1.000000
Trenton,0.000000
Trent Woods,1.000000
Trinity,0.680845
Troutman,0.778799
Troy,0.000000
Tryon,0.975672
Turkey,0.000000
Tyro,0.000000
Unionville,0.005720
Valdese,0.953082
Valle Crucis,0.000000
Valley Hill,1.000000
Vanceboro,0.000000
Vandemere,0.000000
Vander,0.000000
Vann Crossroads,0.000000
Varnamtown,1.000000
Vass,0.000000
Waco,0.448387
Wade,0.000000
Lincolnton,1.000000
Light Oak,0.703013
Lilesville,0.000000
Lillington,0.576980
Linden,0.000000
Linville,0.000000
Littleton,0.000000
Locust,0.000000
Long Creek,0.000000
Long View,0.998821
Louisburg,0.000000
Love Valley,0.000000
Lowell,1.000000
Lowesville,0.000000
Lowgap,0.000000
Lucama,0.000000
Lumber Bridge,0.000000
Lumberton,0.929829
McAdenville,0.995506
Macclesfield,0.000000
McDonald,0.000000
McFarlan,0.000000
McLeansville,0.316262
Macon,0.000000
Madison,1.000000
Maggie Valley,0.945465
Magnolia,0.000000
Maiden,0.947002
Mamers,0.000000
Manns Harbor,0.407595
Manteo,0.919375
Marble,0.000000
Marietta,0.000000
Marion,0.884800
Mar-Mac,0.780779
Marshall,0.000000
Marshallberg,0.000000
Mars Hill,0.000000
Marshville,0.000000
Marvin,0.962881
Matthews,1.000000
Maury,0.000000
Maxton,0.000000
Mayodan,0.961125
Maysville,0.000000
Mebane,0.991291
Mesic,0.000000
Micro,0.000000
Middleburg,0.000000
Middlesex,0.000000
Midland,0.000000
Midway,0.959933
Millers Creek,0.444847
Milwaukee,0.000000
Millingport,0.000000
Mills River,0.365923
Milton,0.000000
Mineral Springs,0.423868
Minnesott Beach,0.000000
Mint Hill,0.983138
Misenheimer,0.000000
Mocksville,0.957119
Momeyer,0.000000
Moncure,0.000000
Monroe,0.948180
Montreat,0.881243
Mooresboro,0.000000
Mooresville,0.997310
Moravian Falls,0.111565
Morehead City,0.999791
Morganton,0.968925
Morrisville,1.000000
Morven,0.000000
Mountain Home,0.992550
Mountain View,0.916713
Mount Airy,0.982671
Mount Gilead,0.000000
Mount Holly,0.995199
Mount Olive,0.000000
Mount Pleasant,0.000000
Moyock,0.000000
Mulberry,0.886154
Murfreesboro,0.000000
Murphy,0.000000
Murraysville,0.989627
Myrtle Grove,1.000000
Nags Head,0.980429
Nashville,0.987216
Navassa,0.647403
Nebo,0.000000
Neuse Forest,0.000000
New Bern,0.951488
New Hope,0.934509
Newland,0.000000
New London,0.695222
Newport,0.913841
Newton,0.945011
Newton Grove,0.000000
Norlina,0.000000
Norman,0.000000
Northchase,1.000000
Northlakes,1.000000
North Topsail Beach,0.926368
Northwest,0.000000
North Wilkesboro,0.957554
Cleveland,0.000000
Clarkton,0.000000
Clayton,0.994184
Clemmons,0.999149
Cliffside,0.000000
Clinton,0.999284
Clyde,1.000000
Coats,0.000000
Cofield,0.000000
Coinjock,0.000000
Colerain,0.000000
Columbia,0.000000
Columbus,0.000000
Como,0.000000
Concord,0.999221
Conetoe,0.000000
Connelly Springs,0.482014
Conover,0.984800
Conway,0.000000
Cooleemee,0.000000
Cordova,0.941319
Cornelius,1.000000
Cove City,0.000000
Cove Creek,0.000000
Cramerton,1.000000
Creedmoor,0.963009
Creswell,0.000000
Cricket,1.000000
Crossnore,0.000000
Crouse,0.555901
Cullowhee,0.995053
Cypress Landing,0.000000
Dallas,0.997132
Dana,0.711105
Danbury,0.000000
Davidson,0.999007
Davis,0.000000
Deep Run,0.000000
Deercroft,0.000000
Delco,0.000000
Dellview,0.000000
Delway,0.000000
Denton,0.000000
Denver,0.000000
Dillsboro,0.896714
Dobbins Heights,1.000000
Dobson,0.000000
Dortches,0.111830
Dover,0.000000
Drexel,1.000000
Dublin,0.000000
Duck,1.000000
Dudley,0.000000
Atkinson,0.000000
Atlantic,0.000000
Atlantic Beach,1.000000
Aulander,0.000000
Aurora,0.000000
Autryville,0.000000
Avery Creek,0.988398
Avon,0.000000
Ayden,0.966245
Badin,0.000000
Bailey,0.000000
Bakersville,0.000000
Bald Head Island,0.000000
Saratoga,0.000000
Sandy Creek,0.000000
Aberdeen,0.910991
Advance,0.000000
Ahoskie,0.993866
Alamance,1.000000
Albemarle,0.957035
Alexis,0.000000
Alliance,0.000000
Altamahaw,0.000000
Anderson Creek,0.485553
Andrews,0.000000
Angier,0.122887
Ansonville,0.000000
Apex,0.969581
Aquadale,0.000000
Arapahoe,0.000000
Archdale,0.982363
Archer Lodge,0.361059
Arrowhead Beach,0.000000
Asheboro,0.964722
Asheville,0.999937
Ashley Heights,0.000000
Askewville,0.000000
Sea Breeze,1.000000
Seagrove,0.000000
Sedalia,0.321006
Selma,0.961216
Seven Devils,0.000000
Seven Lakes,0.000000
Seven Springs,0.000000
Severn,0.000000
Shallotte,0.000239
Shannon,0.000000
Sharpsburg,0.998232
Shelby,0.965553
Siler City,0.981304
Silver City,0.869362
Silver Lake,1.000000
Simpson,1.000000
Sims,0.000000
Skippers Corner,0.790522
Smithfield,0.963071
Smithtown,0.000000
Sneads Ferry,0.000000
Snow Hill,0.000000
Southern Pines,0.945449
Southern Shores,1.000000
South Henderson,0.940283
South Mills,0.000000
Southmont,0.000000
Southport,0.999245
South Rosemary,0.676353
South Weldon,1.000000
Sparta,0.000000
Speed,0.000000
Spencer,0.960701
Spencer Mountain,0.000000
Spindale,0.928757
Spivey's Corner,0.000000
Spout Springs,0.984149
Springdale,1.000000
Spring Hope,0.000000
Spring Lake,0.978388
Spruce Pine,0.000000
Staley,0.000000
Stallings,1.000000
Sandyfield,0.000000
Sanford,0.983246
Sawmills,0.867530
Saxapahaw,0.000000
Scotch Meadows,1.000000
Scotland Neck,0.000000
Seaboard,0.000000
Gulf,0.000000
Grifton,0.000000
Grimesland,0.000000
Grover,0.000000
Half Moon,0.906138
Halifax,0.000000
Hallsboro,0.000000
Hamilton,0.000000
Hamlet,0.987718
Hampstead,0.702537
Harkers Island,0.000000
Harmony,0.000000
Harrells,0.000000
Harrellsville,0.000000
Harrisburg,0.997997
Hassell,0.000000
Hatteras,0.000000
Havelock,0.978762
Haw River,0.929840
Hayesville,0.000000
Hays,0.000000
Hemby Bridge,0.904585
Henderson,1.000000
Hendersonville,1.000000
Henrietta,0.000000
Hertford,0.000000
Hickory,0.993631
Hiddenite,0.000000
Highlands,0.000000
High Point,0.996221
High Shoals,0.000000
Hightsville,0.792958
Hildebran,1.000000
Hillsborough,0.982298
Hobgood,0.000000
Hobucken,0.000000
Hoffman,0.000000
Holden Beach,0.985885
Hollister,0.000000
Holly Ridge,0.000000
Holly Springs,0.998181
Hookerton,0.000000
Hoopers Creek,0.108007
Hope Mills,0.994104
Horse Shoe,0.292181
Hot Springs,0.000000
Hudson,1.000000
Huntersville,0.961891
Icard,0.905791
Indian Beach,1.000000
Indian Trail,0.992024
Ingold,0.000000
Iron Station,0.563636
Earl,0.000000
Dundarrach,0.000000
Dunn,0.992896
Durham,0.993274
East Arcadia,0.000000
East Bend,0.000000
